	 SK네트웍스 Family AI 캠프 21기 커리큘럼							교과목별 시간				
	수업일자	일수	교과목	내용		제공 리소스		교과구분	교과목명	세부내용	편성시간	편성시간 합계
	2025년 9월 24일 수요일	1	프로그래밍과 데이터 기초	Python	파이썬 환경설치, 프로그래밍 개요	-		정규교과	프로그래밍과 데이터 기초	Python	56	112
	2025년 9월 25일 목요일	2	프로그래밍과 데이터 기초	Python	데이터 타입, 자료구조	-				Database	24	
	2025년 9월 26일 금요일	3	프로그래밍과 데이터 기초	Python	제어문, 함수	-				Web Crawling	16	
	2025년 9월 29일 월요일	4	프로그래밍과 데이터 기초	Python	객체지향 프로그래밍	-				단위 프로젝트	16	
	2025년 9월 30일 화요일	5	프로그래밍과 데이터 기초	Python	예외처리	-			데이터 분석과 머신러닝, 딥러닝	데이터 분석	32	184
	2025년 10월 1일 수요일	6	프로그래밍과 데이터 기초	Python	입출력	-				머신러닝	56	
	2025년 10월 2일 목요일	7	프로그래밍과 데이터 기초	Python	Streamlit	-				딥러닝	64	
	2025년 10월 10일 금요일	8	프로그래밍과 데이터 기초	Database	MySQL 설치. 관계형데이터베이스개요. DDL	-				모델 검증 및 평가	16	
	2025년 10월 14일 화요일	9	프로그래밍과 데이터 기초	Database	SQL 기본	-				단위 프로젝트	16	
	2025년 10월 20일 월요일	10	프로그래밍과 데이터 기초	Database	JOIN	-			LLM (초거대언어모델)	자연어 데이터 준비	32	232
	2025년 10월 21일 화요일	11	프로그래밍과 데이터 기초	Web Crawling	Web site 크롤링를 통한 데이터 수집	-				자연어 딥러닝	40	
	2025년 10월 22일 수요일	12	프로그래밍과 데이터 기초	Web Crawling	OpenAPI 제공 데이터 수집	-				LLM	32	
	2025년 10월 23일 목요일	13	프로그래밍과 데이터 기초	단위 프로젝트		-				프롬프트 엔지니어링	32	
	2025년 10월 24일 금요일	14	프로그래밍과 데이터 기초	단위 프로젝트		-				파인튜닝	32	
	2025년 10월 27일 월요일	15	데이터 분석과 머신러닝, 딥러닝	데이터 분석	Numpy 다루기	-				자연어-이미지 멀티모달	48	
	2025년 10월 28일 화요일	16	데이터 분석과 머신러닝, 딥러닝	데이터 분석	Pandas 다루기	-				단위 프로젝트	16	
	2025년 10월 29일 수요일	17	데이터 분석과 머신러닝, 딥러닝	데이터 분석	결측치, 중복값, 이상치 처리	-			AI 활용 애플리케이션 개발	SW공학	16	128
	2025년 10월 30일 목요일	18	데이터 분석과 머신러닝, 딥러닝	데이터 분석	데이터 시각화	-				리눅스	8	
	2025년 10월 31일 금요일	19	데이터 분석과 머신러닝, 딥러닝	머신러닝	머신러닝 개요.	-				화면 구현	24	
	2025년 11월 3일 월요일	20	데이터 분석과 머신러닝, 딥러닝	머신러닝	학습 데이터셋 만들기	-				Django Framework	40	
	2025년 11월 4일 화요일	21	데이터 분석과 머신러닝, 딥러닝	머신러닝	Feature Engineering	-				클라우드	24	
	2025년 11월 5일 수요일	22	데이터 분석과 머신러닝, 딥러닝	머신러닝	머신러닝 모델 성능 개선	-				단위 프로젝트	16	
	2025년 11월 6일 목요일	23	데이터 분석과 머신러닝, 딥러닝	머신러닝	머신러닝 주요 모델 알고리즘	-		프로젝트	최종 프로젝트	최종 프로젝트	304	304
	2025년 11월 7일 금요일	24	데이터 분석과 머신러닝, 딥러닝	머신러닝	머신러닝 주요 모델 알고리즘	-						
	2025년 11월 10일 월요일	25	데이터 분석과 머신러닝, 딥러닝	머신러닝	머신러닝 주요 모델 알고리즘	-						
	2025년 11월 11일 화요일	26	데이터 분석과 머신러닝, 딥러닝	딥러닝	딥러닝 개요.	-						
	2025년 11월 12일 수요일	27	데이터 분석과 머신러닝, 딥러닝	딥러닝	Pytorch Tensor다루기	-						
	2025년 11월 13일 목요일	28	데이터 분석과 머신러닝, 딥러닝	딥러닝	Dataset, DataLoader를 이용한 Data feed 파이프라인	-						
	2025년 11월 14일 금요일	29	데이터 분석과 머신러닝, 딥러닝	딥러닝	딥러닝 모델 구조. 모델 학습 메카니즘.	-						
	2025년 11월 17일 월요일	30	데이터 분석과 머신러닝, 딥러닝	딥러닝	문제 유형별 딥러닝 모델 구현하기	-						
	2025년 11월 18일 화요일	31	데이터 분석과 머신러닝, 딥러닝	딥러닝	딥러닝 모델 성능개선 기법들	-						
	2025년 11월 19일 수요일	32	데이터 분석과 머신러닝, 딥러닝	딥러닝	딥러닝 모델 성능개선 기법들	-						
	2025년 11월 20일 목요일	33	데이터 분석과 머신러닝, 딥러닝	딥러닝	CNN 모델 개요	-						
	2025년 11월 21일 금요일	34	데이터 분석과 머신러닝, 딥러닝	모델 검증 및 평가	분류 평가지표들	-						
	2025년 11월 24일 월요일	35	데이터 분석과 머신러닝, 딥러닝	모델 검증 및 평가	회귀 평가지표들	-						
	2025년 11월 25일 화요일	36	데이터 분석과 머신러닝, 딥러닝	단위 프로젝트		-						
	2025년 11월 26일 수요일	37	데이터 분석과 머신러닝, 딥러닝	단위 프로젝트		-						
	2025년 11월 27일 목요일	38	LLM(초거대언어모델)	자연어 데이터 준비	NLP 개요	-						
	2025년 11월 28일 금요일	39	LLM(초거대언어모델)	자연어 데이터 준비	자연어 데이터 전처리	-						
	2025년 12월 1일 월요일	40	LLM(초거대언어모델)	자연어 데이터 준비	Tokenization	-						
	2025년 12월 2일 화요일	41	LLM(초거대언어모델)	자연어 데이터 준비	통계 기반 embedding	-						
